Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
75243564,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75243564
18441745,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,18441745
75242237,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75242237
17951002,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,HOSPITALIZACIÓN QUIRÚRGICAS,,,"INV_2025, BOMBAS_2026",17951002
75240808,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75240808
75240419,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75240419
18446887,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,18446887
17949459,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,17949459
18446924,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,18446924
21398046,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21398046
21398028,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21398028
21398061,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,H. ADULTOS EXPANSION 3 PISO,,"INV_2025, BOMBAS_2026",21398061
21397860,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397860
21397671,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397671
21397604,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397604
21397532,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397532
21397422,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397422
21397406,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397406
21397415,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397415
21397380,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397380
21397340,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,21397340
21397201,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397201
